Account,Type,Period,Journal,Source,Description,Amount
130,3,20250228,,,RWARD               0015210042,
130,3,20250331,IC,TOTAL*,ADJUSTMENT          000002109u,
130,3,20250331,PD,TOTAL*,UCTION              000209125t,
130,3,20250331,PJ,CIBC03,LAN                 0000182000,
130,3,20250331,PJ,MADD01,H WM MADDEN         0000001800,
130,3,20250331,RF,TOTAL*,RODUCTION TOTAL     0001949736,
130,3,20250430,IC,TOTAL*,ADJUSTMENT          000005500t,
130,3,20250430,PD,TOTAL*,UCTION              000181962q,
130,3,20250430,PJ,MADD01,H WM MADDEN         0000001900,
130,3,20250430,RF,TOTAL*,RODUCTION TOTAL     000002478r,
130,3,20250531,IC,TOTAL*,ADJUSTMENT          000001064t,
130,3,20250531,PD,TOTAL*,UCTION              000243911s,
130,3,20250531,PJ,IMPE50,ECIOUS METALS       0001366500,
130,3,20250531,PJ,MADD01,H WM MADDEN         0000004700,
130,3,20250531,PJ,MDLD01,D MERCHANTS         0000235950,
130,3,20250531,RF,TOTAL*,RODUCTION TOTAL     0000007733,
130,3,20250630,IC,TOTAL*,ADJUSTMENT          000000635p,
130,3,20250630,PD,TOTAL*,UCTION              000270972r,
130,3,20250630,PJ,BYRE01,INC.               0000043470,
130,3,20250630,PJ,CIBC03,LAN                 0000160210,
130,3,20250630,PJ,MADD01,H WM MADDEN         0000009780,
130,3,20250630,RF,TOTAL*,RODUCTION TOTAL     0000239198,
130,3,20250731,IC,TOTAL*,ADJUSTMENT          000086276v,
130,3,20250731,JE,J21124,K PRODUCTION REPORT 002919546p,
130,3,20250731,PD,TOTAL*,UCTION              000097842q,
130,3,20250731,PJ,BYRE01,INC.               0000154000,
130,3,20250731,PJ,IMPE50,ECIOUS METALS       0005532696,
130,3,20250731,PJ,MADD01,H WM MADDEN         0000012200,
130,3,20250731,PJ,NOBL01,PACKAGING INC.     0001026000,
130,3,20250731,RF,TOTAL*,RODUCTION TOTAL     0029201316,
130,3,20250831,IC,TOTAL*,ADJUSTMENT          000000159u,
130,3,20250831,PD,TOTAL*,UCTION              000088636x,
130,3,20250831,PJ,IMPE50,ECIOUS METALS       0003120000,
130,3,20250831,PJ,MADD01,H WM MADDEN         0000016800,
130,3,20250831,RF,TOTAL*,RODUCTION TOTAL     0002530170,
130,3,20250930,IC,TOTAL*,ADJUSTMENT          000000719q,
130,3,20250930,PD,TOTAL*,UCTION              000082044r,
130,3,20250930,PJ,BYRE01,INC.               0000023410,
130,3,20250930,PJ,CIBC03,LAN                 0000005350,
130,3,20250930,PJ,IMPE50,ECIOUS METALS       0001376500,
130,3,20250930,PJ,MADD01,H WM MADDEN         0000003000,
130,3,20250930,RF,TOTAL*,RODUCTION TOTAL     000003056y,
130,3,20251031,IC,TOTAL*,ADJUSTMENT          000002819p,
130,3,20251031,PD,TOTAL*,UCTION              000202817u,
130,3,20251031,PJ,CIBC03,LAN                 0000072540,
130,3,20251031,PJ,IMPE50,ECIOUS METALS       0001366500,
130,3,20251031,PJ,MADD01,H WM MADDEN         0000013100,
130,3,20251031,RF,TOTAL*,RODUCTION TOTAL     000002289u,
130,3,20251130,IC,TOTAL*,ADJUSTMENT          000028291s,
130,3,20251130,PD,TOTAL*,UCTION              000814984y,
130,3,20251130,PJ,BYRE01,INC.               0000003900,
130,3,20251130,PJ,MADD01,H WM MADDEN         0000011180,
130,3,20251130,PJ,MDLD01,D MERCHANTS         0000286610,
130,3,20251130,RF,TOTAL*,RODUCTION TOTAL     000003099y,
130,3,20251231,IC,TOTAL*,ADJUSTMENT          000000909u,
130,3,20251231,PD,TOTAL*,UCTION              000246625s,
130,3,20251231,PJ,BYRE01,INC.               0000012840,
130,3,20251231,PJ,CIBC03,LAN                 0000006990,
130,3,20251231,PJ,MADD01,H WM MADDEN         0000021900,
130,3,20251231,PJ,NOBL01,PACKAGING INC.     0000010260,
130,3,20251231,RF,TOTAL*,RODUCTION TOTAL     000010590v,
130,3,20260131,IC,TOTAL*,ADJUSTMENT          000001120r,
130,3,20260131,PD,TOTAL*,UCTION              000046709p,
130,3,20260131,PJ,MADD01,H WM MADDEN         0000011200,
130,3,20260131,PJ,MDLD01,D MERCHANTS         0000243750,
130,3,20260131,RF,TOTAL*,RODUCTION TOTAL     000009147s,
130,3,20260228,PD,TOTAL*,UCTION              000159168v,
130,3,20260228,PJ,CIBC03,LAN                 0000192875,
130,3,20260228,RF,TOTAL*,RODUCTION TOTAL     0000854237,
131,3,20250331,JE,J21082,ADJUSTMENTS         000200000p,
131,3,20250430,JE,J21092,ADJUSTMENTS APRIL   000200000p,
131,3,20250531,JE,J21102,ADJUSTMENT FOR MAY  000200000p,
131,3,20250630,JE,J21112,ADJ JUNE            000200000p,
131,3,20250731,JE,J21122,ADJUSTMENTS         000200000p,
131,3,20250831,JE,J21132,ADJUSTMENTS         000200000p,
131,3,20250930,JE,J21142,ADJUSTMENTS         000200000p,
131,3,20251031,JE,J21152,ADJUSTMENTS OCT 2025000200000p,
131,3,20251130,JE,J21162,FOR NOVEMBER       0006000000,
131,3,20251231,JE,J21172,ADJUSTMENTS         000200000p,
131,3,20260131,JE,J21182,ADJUSTMENTS JAN     000200000p,
145,3,20250228,,,RWARD               0040528630,
154,3,20250228,,,RWARD               0029100000,
160,3,20250331,PJ,CIBC03,LAN                 0000982173,
160,3,20250531,PJ,CIBC03,LAN                 0000866851,
160,3,20250630,PJ,CIBC03,LAN                 0000008240,
160,3,20250731,PJ,CIBC03,LAN                 0001327320,
160,3,20250930,PJ,CIBC03,LAN                 0000040680,
160,3,20260228,PJ,CIBC03,LAN                 0000016480,
161,3,20250228,,,RWARD               0130219403,
170,3,20250228,,,RWARD               0000137500,
171,3,20250228,,,RWARD               0000070000,
172,3,20250228,,,RWARD               0018783525,
173,3,20250228,,,RWARD               001633051x,
174,3,20250228,,,RWARD               0024722987,
174,3,20250331,DB,DR1740,G MARCH STATEMENT   0000047368,
174,3,20250430,DB,DR1744,G APRIL STATEMENT   0000047368,
174,3,20250531,DB,DR1748,G                   0000047368,
174,3,20250630,DB,DR1752,G JUNE STATEMENT    0000047368,
174,3,20250731,DB,DR1456,G                   0000047368,
174,3,20250831,DB,DR1760,G AUG STATEMENT     0000047368,
174,3,20250930,DB,DR1764,SEPT STATEMENT     0000047368,
174,3,20251031,DB,DR1768,G OCT STATEMENT     0000047368,
174,3,20251130,DB,DR1772,G NOV STATEMENT     0000047368,
174,3,20251231,DB,DR1776,G DEC STATEMENT     0000047368,
174,3,20260131,DB,DR1780,G                   0000138376,
175,3,20250228,,,RWARD               001904302v,
176,3,20250228,,,RWARD               0003957595,
177,3,20250228,,,RWARD               000302581x,
178,3,20250228,,,RWARD               0155368118,
180,3,20250228,,,RWARD               0100193149,
181,3,20250228,,,RWARD               009153744v,
182,3,20250228,,,RWARD               0033564429,
183,3,20250228,,,RWARD               002953631r,
184,3,20250228,,,RWARD               0023544893,
185,3,20250228,,,RWARD               002093211q,
186,3,20250228,,,RWARD               0011052732,
187,3,20250228,,,RWARD               000681543r,
188,3,20250228,,,RWARD               0004390269,
189,3,20250228,,,RWARD               000393304r,
195,3,20250331,JE,J21081,ON AUTO MARCH       000022380p,
195,3,20250430,JE,J21091,ON FOR APRIL 2025   000022380p,
195,3,20250531,JE,J21101,ON FOR MAY          000022380p,
195,3,20250630,JE,J21111,ON JUNE             000022380p,
195,3,20250731,JE,J21121,ON JULY             000022380p,
195,3,20250831,JE,J21131,ON AUTO AUGUST      000022380p,
195,3,20250930,JE,J21141,ON AUTO             000022380p,
195,3,20251031,JE,J21151,ON AUTO OCT 2025    000022380p,
195,3,20251130,JE,J21161,ON FOR NOVEMBER     000022380p,
195,3,20251231,JE,J21171,ON AUTO             000022380p,
195,3,20260131,JE,J21181,ON AUTO JANUARY     000022380p,
210,3,20250228,,,RWARD               000100411q,
210,3,20250331,DB,TOTAL*,NTS JOURNAL         0002357685,
210,3,20250331,PJ,TOTAL*,OURNAL              000408721y,
210,3,20250430,DB,TOTAL*,NTS JOURNAL         0002898050,
210,3,20250430,PJ,TOTAL*,OURNAL              000279731s,
210,3,20250531,DB,TOTAL*,NTS JOURNAL         0006816394,
210,3,20250531,PJ,TOTAL*,OURNAL              000760079x,
210,3,20250630,DB,TOTAL*,NTS JOURNAL         0004700030,
210,3,20250630,PJ,TOTAL*,OURNAL              000297065x,
210,3,20250731,DB,TOTAL*,NTS JOURNAL         0004517324,
210,3,20250731,PJ,TOTAL*,OURNAL              001090238t,
210,3,20250831,DB,TOTAL*,NTS JOURNAL         0011198944,
210,3,20250831,PJ,TOTAL*,OURNAL              000370601x,
210,3,20250930,DB,TOTAL*,NTS JOURNAL         0006354890,
210,3,20250930,PJ,TOTAL*,OURNAL              000708374u,
210,3,20251031,DB,TOTAL*,NTS JOURNAL         0007199063,
210,3,20251031,PJ,TOTAL*,OURNAL              000727093p,
210,3,20251130,DB,TOTAL*,NTS JOURNAL         0002390089,
210,3,20251130,PJ,TOTAL*,OURNAL              000292855s,
210,3,20251231,DB,TOTAL*,NTS JOURNAL         0002518492,
210,3,20251231,PJ,TOTAL*,OURNAL              000254470v,
210,3,20260131,DB,TOTAL*,NTS JOURNAL         0002959154,
210,3,20260131,PJ,TOTAL*,OURNAL              000196379u,
210,3,20260228,DB,TOTAL*,NTS JOURNAL         0003012735,
210,3,20260228,PJ,TOTAL*,OURNAL              000410543t,
225,3,20250228,,,RWARD               000160000p,
235,3,20250228,,,RWARD               0000178374,
235,3,20250331,DB,014146,ENERAL              000017837t,
235,3,20250331,DB,DR1739,STATEMENT           0000000077,
235,3,20250331,JE,J-2433,FOR MARCH          0000004406,
235,3,20250331,JE,J-2434,R MARCH 2025        0000002730,
235,3,20250331,JE,J21083,SE MARCH            0000003467,
235,3,20250331,PJ,BEAR01,ARD                 0000002145,
235,3,20250331,PJ,BELL02,A                   0000004568,
235,3,20250331,PJ,BELL03,ITY                 0000004482,
235,3,20250331,PJ,BELL05,A                   0000000271,
235,3,20250331,PJ,CANA40,T CORPORATION       000000037x,
235,3,20250331,PJ,CANO01,DA INC.             0000001345,
235,3,20250331,PJ,CIBC03,LAN                 0000009942,
235,3,20250331,PJ,CJG-01,LRY GROUP CO-OP     0000005200,
235,3,20250331,PJ,DOWD01,SONS               0000006578,
235,3,20250331,PJ,ENBR01,AS (UNION GAS)      0000022314,
235,3,20250331,PJ,EXEC02,TELECOM             0000003099,
235,3,20250331,PJ,FEDE01,PRESS CANADA LTD.   0000039175,
235,3,20250331,PJ,GESS01,ANADA               0000002462,
235,3,20250331,PJ,HYDR01,NETWORKS            0000014910,
235,3,20250331,PJ,IMPE50,ECIOUS METALS       0000004531,
235,3,20250331,PJ,MART01,TIN                 0000000655,
235,3,20250331,PJ,MESS01,ADA INC.,15687      0000002762,
235,3,20250331,PJ,MINT01,R                   0000004084,
235,3,20250331,PJ,PIER01,E                   0000006393,
235,3,20250331,PJ,PURO01,INC.                0000000599,
235,3,20250331,PJ,QBOL01,E                   0000019500,
235,3,20250331,PJ,RELI01,OME COMFORT         0000000841,
235,3,20250331,PJ,RWAM01,ANCE                0000014247,
235,3,20250331,PJ,TAYS03,ALES AGENCY LTD.    0000006198,
235,3,20250430,DB,014167,ENERAL              000018660s,
235,3,20250430,DB,DR1742,ENTECH MARCH STMT   0000000077,
235,3,20250430,JE,J-2436,FOR APRIL 2025     0000002377,
235,3,20250430,JE,J-2437,R APRIL 2025        0000003001,
235,3,20250430,JE,J21093,SE APRIL            0000006032,
235,3,20250430,PJ,ALPH01,LIMITED             0000006175,
235,3,20250430,PJ,BEAR01,ARD                 0000001040,
235,3,20250430,PJ,BELL02,A                   0000004568,
235,3,20250430,PJ,BELL05,A                   0000000264,
235,3,20250430,PJ,CHAN01,NDUSTRIAL SUPPLIES  0000001602,
235,3,20250430,PJ,CIBC03,LAN                 0000012427,
235,3,20250430,PJ,CJG-01,LRY GROUP CO-OP     0000005200,
235,3,20250430,PJ,DOWD01,SONS               0000003744,
235,3,20250430,PJ,ENBR01,AS (UNION GAS)      0000013134,
235,3,20250430,PJ,EWOR01,E TRAINING          0000003114,
235,3,20250430,PJ,EXEC02,TELECOM             0000002769,
235,3,20250430,PJ,FEDE01,PRESS CANADA LTD.   0000017772,
235,3,20250430,PJ,GESS01,ANADA               0000003930,
235,3,20250430,PJ,HYDR01,NETWORKS            0000014260,
235,3,20250430,PJ,IMPE50,ECIOUS METALS       0000026526,
235,3,20250430,PJ,MART01,TIN                 0000001291,
235,3,20250430,PJ,MCDO01,ENERGY INC.         0000000367,
235,3,20250430,PJ,MDLD01,D MERCHANTS         0000097424,
235,3,20250430,PJ,MESS01,ADA INC.,15687      0000002762,
235,3,20250430,PJ,MINT01,R                   0000007343,
235,3,20250430,PJ,PBS-01,SS SYSTEMS          0000006435,
235,3,20250430,PJ,PIER01,E                   0000009334,
235,3,20250430,PJ,PURO01,INC.                0000001104,
235,3,20250430,PJ,QUAD01,ANADA LTD  DPOC     0000013000,
235,3,20250430,PJ,RELI01,OME COMFORT         0000002209,
235,3,20250430,PJ,RWAM01,ANCE                0000014247,
235,3,20250430,PJ,TAYS03,ALES AGENCY LTD.    0000009050,
235,3,20250430,PJ,UNIT60,0000004160,
235,3,20250531,DB,014207,ENERAL              000029673x,
235,3,20250531,DB,DR1746,ENTECH APRIL STMT   0000000077,
235,3,20250531,JE,J-2439,FOR MAY 2025       0000003435,
235,3,20250531,JE,J-2440,R MAY 2025          0000002722,
235,3,20250531,JE,J21103,EXPENSE REPORT JIM 0000003608,
235,3,20250531,PJ,AMST01,SERTISSAGE          0000001365,
235,3,20250531,PJ,BEAR01,ARD                 0000004160,
235,3,20250531,PJ,BELL02,A                   0000004568,
235,3,20250531,PJ,BELL03,ITY                 0000004810,
235,3,20250531,PJ,BELL05,A                   0000000259,
235,3,20250531,PJ,CANO01,DA INC.             0000001345,
235,3,20250531,PJ,CHAN01,NDUSTRIAL SUPPLIES  0000000884,
235,3,20250531,PJ,CHUB01,RITY SYSTEMS        0000010171,
235,3,20250531,PJ,CIBC03,LAN                 0000004426,
235,3,20250531,PJ,CJG-01,LRY GROUP CO-OP     0000005200,
235,3,20250531,PJ,ENBR01,AS (UNION GAS)      0000006973,
235,3,20250531,PJ,FEDE01,PRESS CANADA LTD.   0000031733,
235,3,20250531,PJ,GESS01,ANADA               0000013079,
235,3,20250531,PJ,HYDR01,NETWORKS            0000013811,
235,3,20250531,PJ,IMPE50,ECIOUS METALS       0000004787,
235,3,20250531,PJ,MDLD01,D MERCHANTS         0000021642,
235,3,20250531,PJ,MESS01,ADA INC.,15687      0000002762,
235,3,20250531,PJ,MINT01,R                   0000015114,
235,3,20250531,PJ,PIER01,E                   0000006985,
235,3,20250531,PJ,PURO01,INC.                0000003354,
235,3,20250531,PJ,QUAD01,ANADA LTD  DPOC     0000004672,
235,3,20250531,PJ,RELI01,OME COMFORT         0000000841,
235,3,20250531,PJ,RWAM01,ANCE                0000014247,
235,3,20250531,PJ,TAYS03,ALES AGENCY LTD.    0000021710,
235,3,20250531,PJ,UNIT60,0000003880,
235,3,20250630,DB,014241,ENERAL              000021262p,
235,3,20250630,DB,DR1750,ENTECH MAY STATEMENT0000000077,
235,3,20250630,JE,J-2442,FOR JUNE 2025      0000010052,
235,3,20250630,JE,J-2443,R JUNE 2025         0000002976,
235,3,20250630,JE,J21113,SE JUNE             0000005863,
235,3,20250630,PJ,BEAR01,ARD                 0000005135,
235,3,20250630,PJ,BELL02,A                   0000004772,
235,3,20250630,PJ,BELL03,ITY                 0000002236,
235,3,20250630,PJ,BELL05,A                   0000000241,
235,3,20250630,PJ,BYRE01,INC.               0000015347,
235,3,20250630,PJ,CIBC03,LAN                 0000075003,
235,3,20250630,PJ,CJG-01,LRY GROUP CO-OP     0000044200,
235,3,20250630,PJ,COUR01,VINYL WINDOWS LTD.  0000003055,
235,3,20250630,PJ,DOWD01,SONS               0000002340,
235,3,20250630,PJ,ENBR01,AS (UNION GAS)      0000002370,
235,3,20250630,PJ,EXEC02,TELECOM             0000002903,
235,3,20250630,PJ,FEDE01,PRESS CANADA LTD.   0000020586,
235,3,20250630,PJ,GESS01,ANADA               0000018014,
235,3,20250630,PJ,HYDR01,NETWORKS            0000014048,
235,3,20250630,PJ,IMPE50,ECIOUS METALS       0000007940,
235,3,20250630,PJ,MART01,TIN                 0000001329,
235,3,20250630,PJ,MESS01,ADA INC.,15687      0000010087,
235,3,20250630,PJ,MINT01,R                   0000012043,
235,3,20250630,PJ,PIER01,E                   0000012287,
235,3,20250630,PJ,PURO01,INC.                0000003674,
235,3,20250630,PJ,RELI01,OME COMFORT         0000000841,
235,3,20250630,PJ,RWAM01,ANCE                0000014247,
235,3,20250630,PJ,TAYS03,ALES AGENCY LTD.    0000007060,
235,3,20250630,PJ,TYCO50,RATED FIRE& SECURITY0000009611,
235,3,20250731,DB,014273,ENERAL              000030833w,
235,3,20250731,DB,DR1754,ENTECH JUNE STMNT   0000000077,
235,3,20250731,JE,J-2445,FOR JULY 2025      0000005069,
235,3,20250731,JE,J-2446,R JULY 2025         0000003285,
235,3,20250731,JE,J21123,SE JULY             0000003518,
235,3,20250731,PJ,AMST01,SERTISSAGE          0000001533,
235,3,20250731,PJ,BELL02,A                   0000004676,
235,3,20250731,PJ,BELL03,ITY                 0000003084,
235,3,20250731,PJ,BELL05,A                   0000000190,
235,3,20250731,PJ,BYRE01,INC.               0000000738,
235,3,20250731,PJ,CEYL01,S & JEWELLERY       0000001300,
235,3,20250731,PJ,CIBC03,LAN                 0000003286,
235,3,20250731,PJ,CJG-01,LRY GROUP CO-OP     0000011442,
235,3,20250731,PJ,ENBR01,AS (UNION GAS)      0000003791,
235,3,20250731,PJ,EXEC02,TELECOM             0000002903,
235,3,20250731,PJ,FEDE01,PRESS CANADA LTD.   0000015624,
235,3,20250731,PJ,HYDR01,NETWORKS            0000016724,
235,3,20250731,PJ,IMPE50,ECIOUS METALS       0000405604,
235,3,20250731,PJ,MART01,TIN                 0000002267,
235,3,20250731,PJ,MDLD01,D MERCHANTS         0000097640,
235,3,20250731,PJ,MESS01,ADA INC.,15687      0000005998,
235,3,20250731,PJ,MILL01,OUSE, ROSEBRUGH     0000153920,
235,3,20250731,PJ,MINT01,R                   0000009030,
235,3,20250731,PJ,NOBL01,PACKAGING INC.     0000005516,
235,3,20250731,PJ,PIER01,E                   0000009729,
235,3,20250731,PJ,PLUM01,MBING AND HEATING   0000002262,
235,3,20250731,PJ,PURO01,INC.                0000003432,
235,3,20250731,PJ,QBOL01,E                   0000013000,
235,3,20250731,PJ,RWAM01,ANCE                0000014247,
235,3,20250731,PJ,TAYS03,ALES AGENCY LTD.    0000007129,
235,3,20250831,CR,250831,SHOW SPONSNORSHIP  0000039000,
235,3,20250831,DB,DR1758,STATEMENT          0000000077,
235,3,20250831,JE,J-2449,R AUGUST 2025       0000002628,
235,3,20250831,JE,J21133,SE AUGUST           0000003433,
235,3,20250831,JE,J2448,FOR AUGUST         0000002303,
235,3,20250831,PJ,AMST01,SERTISSAGE          0000003640,
235,3,20250831,PJ,BELL02,A                   0000004676,
235,3,20250831,PJ,BELL03,ITY                 0000003757,
235,3,20250831,PJ,BELL05,A                   0000000097,
235,3,20250831,PJ,CANO01,DA INC.             0000001345,
235,3,20250831,PJ,CHUB01,RITY SYSTEMS        0000010171,
235,3,20250831,PJ,CJG-01,LRY GROUP CO-OP     000003250p,
235,3,20250831,PJ,ENBR01,AS (UNION GAS)      0000002228,
235,3,20250831,PJ,EXEC02,TELECOM             0000002903,
235,3,20250831,PJ,FEDE01,PRESS CANADA LTD.   0000013421,
235,3,20250831,PJ,HYDR01,NETWORKS            0000017786,
235,3,20250831,PJ,IMPE50,ECIOUS METALS       0000270996,
235,3,20250831,PJ,MART01,TIN                 0000000491,
235,3,20250831,PJ,MDLD01,D MERCHANTS         000008042y,
235,3,20250831,PJ,MESS01,ADA INC.,15687      0000006350,
235,3,20250831,PJ,MINT01,R                   0000043237,
235,3,20250831,PJ,PBS-01,SS SYSTEMS          0000006045,
235,3,20250831,PJ,PIER01,E                   0000005576,
235,3,20250831,PJ,PLUM01,MBING AND HEATING   0000009856,
235,3,20250831,PJ,PURO01,INC.                0000000510,
235,3,20250831,PJ,RELI01,OME COMFORT         0000003050,
235,3,20250831,PJ,RWAM01,ANCE                0000014247,
235,3,20250831,PJ,TAYS03,ALES AGENCY LTD.    0000000281,
235,3,20250831,PJ,UNIT60,0000005295,
235,3,20250930,CR,250924,ANADA               000080701t,
235,3,20250930,DB,014341,ENERAL              000036047p,
235,3,20250930,DB,DR1762,ST STATEMENT        0000000077,
235,3,20250930,JE,J-2451,SEPTEMBER          0000010014,
235,3,20250930,JE,J21143,SE                  0000003777,
235,3,20250930,JE,J2452,R SEPTEMBER 2025    0000002956,
235,3,20250930,PJ,BYRE01,INC.               0000019721,
235,3,20250930,PJ,CIBC03,LAN                 0000003002,
235,3,20250930,PJ,CJG-01,LRY GROUP CO-OP     0000005200,
235,3,20250930,PJ,FEDE01,PRESS CANADA LTD.   0000001168,
235,3,20250930,PJ,IMPE50,ECIOUS METALS       0000004409,
235,3,20250930,PJ,MART01,TIN                 0000000433,
235,3,20250930,PJ,MDLD01,D MERCHANTS         0000125455,
235,3,20250930,PJ,MESS01,ADA INC.,15687      0000013481,
