product_id,product_name,category,subcategory,series,style,pattern,has_images,image_files,has_pdf_page,pdf_file,base_price
3NH,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/3NH.png,0,page_17a.pdf,NULL
5NB,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/5NB.png,0,page_17a.pdf,NULL
5ND,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/5ND.png,0,page_17a.pdf,NULL
5NH,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/5NH.png,0,page_17a.pdf,NULL
7ND,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/7ND.png,0,page_17a.pdf,NULL
7NH,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/7NH.png,0,page_17a.pdf,NULL
8NB,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/8NB.png,0,page_17a.pdf,NULL
8ND,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/8ND.png,0,page_17a.pdf,NULL
8NH,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/8NH.png,0,page_17a.pdf,NULL
L26,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L26.png,0,page_23A.pdf,NULL
L27,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L27.png,0,page_23A.pdf,NULL
PH7,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/PH7.png,0,page_23A.pdf,NULL
41NB,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/41NB.png,0,page_17a.pdf,NULL
41ND,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/41ND.png,0,page_17a.pdf,NULL
41NH,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/41NH.png,0,page_17a.pdf,NULL
70NB,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/70NB.png,0,page_17a.pdf,NULL
70ND,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/70ND.png,0,page_17a.pdf,NULL
UN1E,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN1E.png,0,page_23A.pdf,NULL
UN2E,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN2E.png,0,page_23A.pdf,NULL
UN2P,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN2P.png,0,page_23A.pdf,NULL
UN3P,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN3P.png,0,page_23A.pdf,NULL
UN4P,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN4P.png,0,page_23A.pdf,NULL
UN4LP,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN4LP.png,0,page_23A.pdf,NULL
UN1P_chain,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/UN1P_chain.png,0,page_23A.pdf,NULL
B7GA,10K Bracelet Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
B70GA,10K Bracelet Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
B7GB,10K Bracelet Locket B,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
B70GB,10K Bracelet Locket B,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
B7GC,10K Bracelet Locket C,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
B70GC,10K Bracelet Locket C,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21c.pdf,NULL
2LTG,10K Ladies Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
L70G,10K Ladies Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
L7TG,10K Ladies Locket,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L7TG.png,1,page_21a.pdf,NULL
L26TG,10K Ladies Locket,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L26TG.png,1,page_21a.pdf,NULL
L7TFG,10K Ladies Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
L3GA,10K Ladies Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
L7TGA,10K Ladies Locket A,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L7TGA.png,1,page_21a.pdf,NULL
L3GB,10K Ladies Locket B,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
L3GC,10K Ladies Locket C,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
L7TGD,10K Ladies Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/L7TGD.png,1,page_21a.pdf,NULL
2TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
3TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
8TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
9BG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
11TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
12TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
21TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/21TG.png,1,page_21a.pdf,NULL
30TG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
3TFG,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
10TGA,10K Locket,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/10TGA.png,1,page_21a.pdf,NULL
3TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
5TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
6TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21d.pdf,NULL
9TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
13TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
21TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/21TGA.png,1,page_21a.pdf,NULL
29TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/29TGA.png,1,page_21a.pdf,NULL
30TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/30TGA.png,1,page_21d.pdf,NULL
70TGA,10K Locket A,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
9TGB,10K Locket B,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
10TGD,10K Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
13TGD,10K Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
29TGD,10K Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
70TGD,10K Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/70TGD.png,1,page_21a.pdf,NULL
8TGE,10K Locket Engraved,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
10TGE,10K Locket Engraved,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
29TGE,10K Locket Engraved,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
70TGE,10K Locket Engraved,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/70TGE.png,1,page_21b.pdf,NULL
70TGM,10K Locket M,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
70TGN,10K Locket N,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21b.pdf,NULL
M2TG,10K Mens Locket,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
M3TG,10K Mens Locket,lockets,10k_lockets,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/M3TG.png,1,page_21a.pdf,NULL
M2TGD,10K Mens Locket Diamond,lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
CEL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
3COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
4COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
7COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
1ACOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
6ECOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
70COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
7ECOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
8RCOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
S10COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
S13COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
SM3COL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
S10BCOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
S13CCOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
S14BCOL,Locket (Ladies),lockets,10k_lockets,NULL,NULL,NULL,0,no images found,1,page_21a.pdf,NULL
20,Sterling Locket,lockets,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/20.png,0,page_17a.pdf,NULL
21,Sterling Locket,lockets,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/21.png,0,page_17a.pdf,NULL
32,Sterling Locket,lockets,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/32.png,0,page_17a.pdf,NULL
98,Sterling Locket,lockets,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/98.png,0,page_17a.pdf,NULL
MK42,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK42.png,0,page_7c.pdf,NULL
MK56,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK56.png,0,page_7c.pdf,NULL
MK58,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK58.png,0,page_7c.pdf,NULL
MK73,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK75,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK75.png,0,page_7c.pdf,NULL
MK76,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK77,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK78,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK79,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK79.png,0,page_7c.pdf,NULL
MK80,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK82,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MM93,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MN12,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MT69,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MU70,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WJ37,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK26,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK72,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK73,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK74,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK75,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK76,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK77,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK78,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK81,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WM93,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WT69,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WU70,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK56D,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK56D.png,0,page_7c.pdf,NULL
MK58D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK60D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK63D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK64D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK65D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK66D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK67D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK72A,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK74A,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MN31D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK56D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK58D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK60D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK62A,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK66D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
WK67D,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK2207,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK2207.png,0,page_7c.pdf,NULL
MK5606,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK5606.png,0,page_7c.pdf,NULL
MK57DA,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK59DA,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK62DA,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK68DA,Engagement Ring,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7c.pdf,NULL
MK6IDA,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK6IDA.png,0,page_7c.pdf,NULL
MK58-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK58-alt1.png,0,page_7c.pdf,NULL
MK58-alt2,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK58-alt2.png,0,page_7c.pdf,NULL
MK75-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK75-alt1.png,0,page_7c.pdf,NULL
MK75-alt2,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK75-alt2.png,0,page_7c.pdf,NULL
MK79-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK79-alt1.png,0,page_7c.pdf,NULL
MK79-alt2,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK79-alt2.png,0,page_7c.pdf,NULL
MK56D-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK56D-alt1.png,0,page_7c.pdf,NULL
MK56D-alt2,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK56D-alt2.png,0,page_7c.pdf,NULL
MK59DB-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK59DB-alt1.png,0,page_7c.pdf,NULL
MK59DB-alt2,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK59DB-alt2.png,0,page_7c.pdf,NULL
MK59DB-alt3,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK59DB-alt3.png,0,page_7c.pdf,NULL
MK6IDA-alt1,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK6IDA-alt1.png,0,page_7c.pdf,NULL
MK6IDA-alt3,Engagement Ring,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MK_series/MK6IDA-alt3.png,0,page_7c.pdf,NULL
MM13,Jewelry Item,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MM_series/MM13.png,0,page_7c.pdf,NULL
MM22,Jewelry Item,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/MM_series/MM22.png,0,page_7c.pdf,NULL
WM13,Jewelry Item,engagement,NULL,NULL,NULL,NULL,1,Engagement_php/thumbs/images/WM_series/WM13.png,0,page_7c.pdf,NULL
M304,Men's Engagement Set,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7a.pdf,NULL
M305,Men's Engagement Set,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7a.pdf,NULL
M307,Men's Engagement Set,engagement,engagement_sets,NULL,NULL,NULL,0,no images found,1,page_7a.pdf,NULL
